Denver Broncos,14.5,DST
Philadelphia Eagles,13.9,DST
Baltimore Ravens,13.3,DST
Pittsburgh Steelers,13.2,DST
Buffalo Bills,13.2,DST
Houston Texans,13.2,DST
Minnesota Vikings,13,DST
Kansas City Chiefs,12.9,DST
Detroit Lions,12.8,DST
Los Angeles Rams,12.8,DST
Los Angeles Chargers,12.8,DST
Dallas Cowboys,12.7,DST
San Francisco 49ers,12.7,DST
Green Bay Packers,12.7,DST
Tampa Bay Buccaneers,12.6,DST
New York Giants,12.6,DST
New York Jets,12.4,DST
Chicago Bears,12.4,DST
Cleveland Browns,12.4,DST
Seattle Seahawks,12.4,DST
New England Patriots,12.4,DST
Washington Commanders,12.2,DST
Cincinnati Bengals,12.2,DST
Indianapolis Colts,11.9,DST
Miami Dolphins,11.7,DST
Arizona Cardinals,11.7,DST
Las Vegas Raiders,11.6,DST
Atlanta Falcons,11.4,DST
Jacksonville Jaguars,11.4,DST
Tennessee Titans,11.4,DST
New Orleans Saints,11.2,DST
