Travis Kelce,7.5,KC
Sam LaPorta,6.7,DET
Mark Andrews,6.3,BAL
Trey McBride,6.3,ARI
Dalton Kincaid,6.2,BUF
George Kittle,6.1,SF
Kyle Pitts,6,ATL
Evan Engram,6,JAC
David Njoku,5.8,CLE
Jake Ferguson,5.6,DAL
Dallas Goedert,5.5,PHI
Brock Bowers,5.4,LV
Dalton Schultz,5.4,HOU
T.J. Hockenson,5.3,MIN
Pat Freiermuth,5.2,PIT
Cole Kmet,5.1,CHI
Luke Musgrave,5,GB
Taysom Hill,5,NO
Tyler Conklin,4.9,NYJ
Hunter Henry,4.9,NE
Isaiah Likely,4.9,BAL
Ben Sinnott,4.7,WAS
Chigoziem Okonkwo,4.6,TEN
Mike Gesicki,4.6,CIN
Noah Fant,4.6,SEA
Jonnu Smith,4.5,MIA
Ja'Tavion Sanders,4.5,CAR
Cade Otton,4.4,TB
Zach Ertz,4.3,WAS
Greg Dulcich,4.3,DEN
Dawson Knox,4.1,BUF
Juwan Johnson,4.1,NO
Colby Parkinson,4,LAR
Hayden Hurst,4,LAC
Tyler Higbee,3.9,LAR
Michael Mayer,3.9,LV
Daniel Bellinger,3.9,NYG
Tucker Kraft,3.8,GB
Darnell Washington,3.8,PIT
Jelani Woods,3.8,IND
O.J. Howard,3.8,FA
Darren Waller,3.8,FA
Theo Johnson,3.7,NYG
Nick Keizer,3.7,FA
Jason Witten,3.7,FA
Connor Heyward,3.7,PIT
Leroy Watson IV,3.7,TEN
Noah Gray,3.7,KC
Durham Smythe,3.6,MIA
Cade Stover,3.6,HOU
Brock Wright,3.6,DET
Mo Alie-Cox,3.6,IND
Kylen Granson,3.6,IND
Josh Oliver,3.5,MIN
Vernon Davis,3.4,FA
Brevin Jordan,3.4,HOU
Luke Schoonmaker,3.4,DAL
Gerald Everett,3.3,CHI
Adam Trautman,3.3,DEN
Jared Wiley,3.3,KC
Elijah Higgins,3.3,ARI
Charlie Taumoepeau,3.2,FA
Julian Hill,3.2,MIA
Armani Rogers,3.2,PHI
Josh Pederson,3.2,FA
Irv Smith Jr.,3.1,KC
Tanner Hudson,3.1,CIN
Eric Tomlinson,3.1,IND
MyCole Pruitt,3.1,PIT
Will Dissly,3.1,LAC
Davis Allen,3.1,LAR
Roger Carter Jr.,3.1,FA
Shane Zylstra,3.1,DET
Tommy Tremble,3.1,CAR
Grant Calcaterra,3.1,PHI
Austin Hooper,3,NE
Albert Okwuegbunam Jr.,3,PHI
Tucker Fisk,3,LAC
Pharaoh Brown,2.9,SEA
Will Mallory,2.9,IND
