Tyreek Hill,13.5,MIA
CeeDee Lamb,13,DAL
Justin Jefferson,12.9,MIN
Ja'Marr Chase,12.5,CIN
Amon-Ra St. Brown,12.3,DET
A.J. Brown,12.2,PHI
Marvin Harrison Jr.,11.6,ARI
Garrett Wilson,11.1,NYJ
Puka Nacua,11,LAR
Chris Olave,10.2,NO
Davante Adams,10.1,LV
Drake London,10,ATL
Deebo Samuel Sr.,9.9,SF
Nico Collins,9.9,HOU
Mike Evans,9.7,TB
Michael Pittman Jr.,9.6,IND
Brandon Aiyuk,9.5,SF
Cooper Kupp,9.4,LAR
DJ Moore,9.3,CHI
DeVonta Smith,9.3,PHI
Stefon Diggs,9.3,HOU
Jaylen Waddle,9.2,MIA
DK Metcalf,9.2,SEA
Malik Nabers,9.2,NYG
Tee Higgins,8.9,CIN
Zay Flowers,8.9,BAL
Amari Cooper,8.9,CLE
Terry McLaurin,8.9,WAS
George Pickens,8.8,PIT
Tank Dell,8.7,HOU
Rashee Rice,8.7,KC
Calvin Ridley,8.5,TEN
Keenan Allen,8.5,CHI
Christian Kirk,8.5,JAC
Jayden Reed,8.5,GB
Chris Godwin,8.4,TB
Diontae Johnson,8.3,CAR
Xavier Worthy,8.3,KC
Hollywood Brown,8.2,KC
Rome Odunze,8.2,CHI
Courtland Sutton,8.1,DEN
DeAndre Hopkins,8.1,TEN
Ladd McConkey,8,LAC
Jordan Addison,8,MIN
Keon Coleman,8,BUF
Christian Watson,8,GB
Jaxon Smith-Njigba,8,SEA
Tyler Lockett,7.9,SEA
Brian Thomas Jr.,7.9,JAC
Romeo Doubs,7.7,GB
Jakobi Meyers,7.7,LV
Jameson Williams,7.6,DET
Mike Williams,7.6,NYJ
Joshua Palmer,7.6,LAC
Curtis Samuel,7.5,BUF
Brandin Cooks,7.5,DAL
Khalil Shakir,7.4,BUF
Jerry Jeudy,7.4,CLE
Gabe Davis,7.3,JAC
Xavier Legette,7.3,CAR
Adonai Mitchell,7.2,IND
Jahan Dotson,7.2,PHI
Darnell Mooney,7.2,ATL
Rashid Shaheed,7.1,NO
Adam Thielen,7,CAR
Quentin Johnston,7,LAC
Dontayvion Wicks,6.8,GB
Michael Wilson,6.8,ARI
Troy Franklin,6.7,DEN
Ricky Pearsall,6.5,SF
Marvin Mims Jr.,6.5,DEN
Rashod Bateman,6.5,BAL
Roman Wilson,6.5,PIT
Ja'Lynn Polk,6.5,NE
Jermaine Burton,6.5,CIN
Josh Downs,6.4,IND
Luke McCaffrey,6.4,WAS
Odell Beckham Jr.,6.3,MIA
DeMario Douglas,6.3,NE
Wan'Dale Robinson,6.3,NYG
Greg Dortch,6.2,ARI
Javon Baker,6,NE
Jalen McMillan,6,TB
Kadarius Toney,5.9,KC
Jalin Hyatt,5.7,NYG
Tyler Boyd,5.7,TEN
Jalen Tolbert,5.7,DAL
Demarcus Robinson,5.6,LAR
Tre Tucker,5.6,LV
Malachi Corley,5.5,NYJ
Brenden Rice,5.5,LAC
DJ Chark Jr.,5.5,LAC
Dyami Brown,5.5,WAS
Jordan Whittington,5.4,LAR
Jake Bobo,5.4,SEA
Elijah Moore,5.4,CLE
Kevin White,5.3,FA
Devontez Walker,5.2,BAL
Tim Patrick,5.2,DEN
Darius Slayton,5.2,NYG
Albert Wilson,5.2,FA
Andrei Iosivas,5.2,CIN
Skyy Moore,5.2,KC
K.J. Osborn,5.2,NE
Justin Watson,5.2,KC
Equanimeous St. Brown,5.2,NO
Jonathan Mingo,5.2,CAR
Zay Malone,5.1,FA
Malik Washington,5.1,MIA
Braxton Berrios,5.1,MIA
Zay Jones,5.1,ARI
Kendrick Bourne,5.1,NE
Calvin Austin III,5.1,PIT
Mecole Hardman Jr.,5,KC
Ainias Smith,5,PHI
JuJu Smith-Schuster,4.9,FA
Donovan Peoples-Jones,4.9,DET
Josh Reynolds,4.8,DEN
Johnny Wilson,4.8,PHI
Allen Lazard,4.8,NYJ
Jauan Jennings,4.8,SF
A.T. Perry,4.8,NO
Alec Pierce,4.7,IND
David Moore,4.7,CAR
Parris Campbell,4.7,PHI
Jalen Virgil,4.7,DEN
John Metchie III,4.6,HOU
Jazz Ferguson,4.5,FA
Jhamon Ausbon,4.5,FA
D.J. Montgomery,4.5,IND
Tyler Scott,4.5,CHI
Van Jefferson,4.5,PIT
Kalif Raymond,4.5,DET
Noah Brown,4.5,HOU
Bo Melton,4.5,GB
Treylon Burks,4.4,TEN
Brandon Powell,4.4,MIN
Michael Thomas,4.4,FA
Trey Palmer,4.3,TB
Jalen Brooks,4.3,DAL
Robert Woods,4.3,HOU
Trenton Irwin,4.3,CIN
Tutu Atwell,4.3,LAR
Byron Pringle,4.3,WAS
Charlie Jones,4.3,CIN
Jalen Nailor,4.3,MIN
Nelson Agholor,4.3,BAL
Ethan Fernea,4.3,FA
Dante Pettis,4.3,CHI
Tylan Wallace,4.2,BAL
Eli Stove,4.2,FA
KaVontae Turpin,4.2,DAL
Samori Toure,4.1,GB
Michael Gallup,4.1,FA
Parker Washington,4.1,JAC
Ray-Ray McCloud III,4.1,ATL
Tom Kennedy,4,DET
Peter LeBlanc,3.9,CHI
Julio Jones,3.9,FA
Justyn Ross,3.9,KC
Lil'Jordan Humphrey,3.9,DEN
Binjimen Victor,3.9,FA
Velus Jones Jr.,3.8,CHI
Lucky Jackson,3.8,MIN
Mack Hollins,3.8,BUF
Ronnie Bell,3.8,SF
Britain Covey,3.8,PHI
Marquez Valdes-Scantling,3.7,BUF
Stanley Berryhill,3.6,III
Jha'Quan Jackson,3.6,TEN
Devaughn Vele,3.6,DEN
Willie Snead,3.6,IV
Malik Heath,3.6,GB
Jacob Cowing,3.5,SF
Quez Watkins,3.5,PIT
Trishton Jackson,3.5,MIN
Gunner Olszewski,3.5,NYG
Allen Robinson II,3.5,NYG
DeAndre Carter,3.5,CHI
James Proche II,3.5,CLE
