Bijan Robinson,16,ATL
Saquon Barkley,15.2,PHI
Jahmyr Gibbs,14.7,DET
Christian McCaffrey,14.6,SF
Ashton Jeanty,14.4,LV
Derrick Henry,13.9,BAL
De'Von Achane,13.1,MIA
Jonathan Taylor,12.9,IND
Chase Brown,12.7,CIN
Bucky Irving,12.5,TB
Josh Jacobs,12.4,GB
Kyren Williams,11.7,LAR
Breece Hall,11.2,NYJ
Kenneth Walker III,11.1,SEA
Alvin Kamara,11.1,NO
James Cook,11.1,BUF
Joe Mixon,10.9,HOU
Chuba Hubbard,10.8,CAR
Omarion Hampton,10.7,LAC
James Conner,10.2,ARI
TreVeyon Henderson,10.2,NE
RJ Harvey,10.1,DEN
David Montgomery,9.8,DET
D'Andre Swift,9.7,CHI
Aaron Jones Sr.,9.7,MIN
Kaleb Johnson,9.6,PIT
Tony Pollard,9.5,TEN
Isiah Pacheco,9.4,KC
Quinshon Judkins,9.4,CLE
Jaylen Warren,9.2,PIT
Tyrone Tracy Jr.,9.1,NYG
Brian Robinson Jr.,9,WAS
Jordan Mason,9,MIN
Zach Charbonnet,8.9,SEA
Travis Etienne Jr.,8.9,JAC
Javonte Williams,8.8,DAL
Tyjae Spears,8.7,TEN
Rhamondre Stevenson,8.7,NE
Cam Skattebo,8.7,NYG
Najee Harris,8.6,LAC
Rachaad White,8.3,TB
J.K. Dobbins,8.2,DEN
Bhayshul Tuten,8.2,JAC
Jaydon Blue,8,DAL
Trey Benson,7.9,ARI
Tyler Allgeier,7.9,ATL
Jaylen Wright,7.8,MIA
Tank Bigsby,7.7,JAC
Nick Chubb,7.7,HOU
Isaac Guerendo,7.7,SF
Rico Dowdle,7.6,CAR
Ray Davis,7.6,BUF
Austin Ekeler,7.6,WAS
Jerome Ford,7.5,CLE
Roschon Johnson,7.3,CHI
Braelon Allen,7.1,NYJ
Dylan Sampson,7.1,CLE
Justice Hill,7,BAL
Kareem Hunt,7,KC
Will Shipley,7,PHI
Jarquez Hunter,6.9,LAR
Miles Sanders,6.9,DAL
MarShawn Lloyd,6.9,GB
DJ Giddens,6.8,IND
Blake Corum,6.6,LAR
Zack Moss,6.5,CIN
Raheem Mostert,6.4,LV
Keaton Mitchell,6,BAL
Devin Neal,6,NO
Brashard Smith,6,KC
Jacory Croskey-Merritt,6,WAS
Kyle Monangai,5.9,CHI
Trevor Etienne,5.8,CAR
Elijah Mitchell,5.7,KC
Tahj Brooks,5.6,CIN
Ollie Gordon II,5.6,MIA
Jaleel McLaughlin,5.6,DEN
Sean Tucker,5.5,TB
A.J. Dillon,5.3,PHI
Jordan James,5.2,SF
Woody Marks,5.2,HOU
Ty Johnson,5.1,BUF
Audric Estime,5.1,DEN
Antonio Gibson,5,NE
Kendre Miller,5,NO
Damien Martinez,5,SEA
Samaje Perine,5,CIN
Emanuel Wilson,5,GB
Kenneth Gainwell,5,PIT
Dameon Pierce,4.9,HOU
Kyle Juszczyk,4.9,SF
Devin Singletary,4.9,NYG
Alexander Mattison,4.9,MIA
Khalil Herbert,4.9,IND
Kenny McIntosh,4.9,SEA
Isaiah Davis,4.8,NYJ
Ty Chandler,4.8,MIN
Dalvin Cook,4.8,FA
Sione Vaki,4.7,DET
Chris Rodriguez Jr.,4.7,WAS
Deuce Vaughn,4.7,DAL
Cam Akers,4.7,NO
Zamir White,4.7,LV
Trayveon Williams,4.7,NE
Carson Steele,4.6,KC
Ezekiel Elliott,4.6,FA
Jermar Jefferson,4.5,FA
Phil Mafah,4.5,DAL
J.J. Taylor,4.4,HOU
Cordarrelle Patterson,4.3,PIT
Aaron Shampklin,4.2,FA
Jonathon Brooks,4.2,CAR
Chris Brooks,4.2,GB
Tyrion Davis-Price,4.1,FA
Kendall Milton,4,CIN
Raheim Sanders,4,LAC
Clyde Edwards-Helaire,3.9,NO
Rashaad Penny,3.9,FA
Leonard Fournette,3.9,FA
C.J. Ham,3.9,MIN
Tre Stewart,3.8,MIN
Jeremy McNichols,3.8,WAS
Jeff Wilson Jr.,3.8,FA
Emari Demercado,3.8,ARI
LeQuint Allen Jr.,3.8,JAC
Patrick Ricard,3.7,BAL
Raheem Blackshear,3.7,CAR
Chase Edmonds,3.7,FA
Jacob Kibodi,3.6,FA
Troy Hairston II,3.6,CLE
Ameer Abdullah,3.5,FA
Israel Abanikanda,3.5,SF
Evan Hull,3.5,PIT
